name,review_text,rating,institution
simona shamim,No Text,5,IIT Delhi Library
Rashila Ashok,No Text,5,IIT Delhi Library
rakshith manaloor,No Text,5,IIT Delhi Library
Ms Komal Verma,No Text,5,IIT Delhi Library
zia abbas azmi,"The Central Library at IIT Delhi is an exceptional resource hub for students and researchers alike. With its extensive collection of books, journals, and digital resources, it provides a conducive environment for academic excellence. The staff are knowledgeable and always ready to assist. The library’s modern facilities, including quiet study areas and access to the latest research databases, make it a top-notch place for scholarly pursuits.",5,IIT Delhi Library
Pushkar Singh,No Text,5,IIT Delhi Library
Ashish Sharma,No Text,5,IIT Delhi Library
Piyush Painkra,No Text,5,IIT Delhi Library
Hrohit yadav,No Text,5,IIT Delhi Library
Gaurav Bhakar,This place is the centre of peace. You can study here for hours without worrying about noise pollution. This building have have good lighting and a good maintenance system. #Studying #knowledge,5,IIT Delhi Library
Nabi Hasan,"Central Library, IIT Delhi, is one of the best libraries in the country, having all the important services and products. Not only this, it is the best in resources and services compared to libraries in the world, as I have seen some of those good libraries in different parts of the globe. The ambience, furniture and other facilities, surrounded by all the good food outlets, greenery, central location, etc, make it the most happening place in the institute.",5,IIT Delhi Library
Satyam Singh,Very large and good environmental library is this.  And it is near by Dongra Hall IIT Delhi,5,IIT Delhi Library
Ankur Saha,No Text,5,IIT Delhi Library
Anikesh Paul,No Text,5,IIT Delhi Library
Abhinav Upadhyay,No Text,5,IIT Delhi Library
Kuldeep Singh Verma,Yeah....One of the best libraries I had ever been to... is open round the clock.,5,IIT Delhi Library
Mr. Gaurav Awasthi,No Text,5,IIT Delhi Library
Daily Life Bytes,"The Central Library of IIT Delhi is a state-of-the-art facility that offers a vast collection of books, journals, and research materials. The library is equipped with modern amenities such as high-speed internet, computer workstations, and online databases, making it a valuable resource for students and researchers alike. The library also has a spacious reading room that provides a quiet and comfortable environment for studying. One of the standout features of the Central Library is its collection of rare and valuable books. The library houses several special collections, including the Mahatma Gandhi Collection, the Jawaharlal Nehru Collection, and the Rabindranath Tagore Collection. The staff at the Central Library are knowledgeable and helpful, providing assistance to students and researchers in finding the resources they need. The library also offers various workshops and training programs to help students develop their research skills.

Overall, the Central Library of IIT Delhi is an excellent resource for anyone seeking knowledge and information. Its vast collection, modern facilities, and knowledgeable staff make it an invaluable asset to the academic community. Highly recommended!",5,IIT Delhi Library
MOHIT RATHORE,"It's spacious,  fully AC,  numerous books on various topics,  but u have to show a ID card(IITD)  to enter.",4,IIT Delhi Library
Varsha Verma,Very nice and serene place. I like the most is this plastic recycling machine.,5,IIT Delhi Library
ujjawal aggarwal,No Text,4,IIT Delhi Library
Aman Kumar,No Text,5,IIT Delhi Library
Shreyashi Sinha,Peaceful quite environment for studying.,5,IIT Delhi Library
Guru Bhardwaj,No Text,5,IIT Delhi Library
Siddhartha Banerjee,No Text,5,IIT Delhi Library
PAWAN KUMAR,"The central library is in the centre of the college, in this place print shop and a food 🍕🍕🎂 shop and also a tea shop available here and also a study room inside on the 2nd floor which is very large with full ac and other also good 🌟🌟👍👍👍👍 …",4,IIT Delhi Library
sumeet kapoor,It's good and maintained properly...,3,IIT Delhi Library
Jagveer Singh Arya,"Near Amul and Nescafe in IIT Delhi campus. Very near and clean. Open for 27x7. Best reading corner for all students and teachers.
One of the best places in IIT Delhi. Clean and calm place. Nice ACs, even in hot summer  you will avoid sitting directly  below the ac vent. In terms of books and literature, there is a huge and wide collection.
The central library  of IIT Delhi also  evolves in lots of academic activities and literature  progress programs.",5,IIT Delhi Library
Amratsinh Rathod,Reader's Heaven !!,5,IIT Delhi Library
Faiz Ahmad,Flow,4,IIT Delhi Library
Bhupendra,No Text,5,IIT Delhi Library
Vikram Jagriya,Really love this place the canteen is so affordable.❤️ food is amazing,5,IIT Delhi Library
Rahul LR,No Text,4,IIT Delhi Library
shreyash gupta,No Text,5,IIT Delhi Library
Bhavani Prasad,Very neat and clean and 24/7 Open at the time major exam,5,IIT Delhi Library
Inderjeet,No Text,5,IIT Delhi Library
shivani negi,No Text,5,IIT Delhi Library
